2019-07-07 22:18:09,b'RT @IntlCrimCourt: Tomorrow at the #ICC: Delivery of judgment in the #Ntaganda case charged with 13 counts of war crimes and 5 counts of cr\xe2\x80\xa6'
2019-07-07 22:06:42,b'#cricket #icc #crickets Live Cricket Steaming app https://t.co/gXAAiXccMB England had \xe2\x80\x98no answers\xe2\x80\x99 to Ellyse Perry\xe2\x80\xa6 https://t.co/vrF3BIoVPO'
2019-07-07 22:00:47,"b""RT @dr_rita39: For #BCCI #ICC #ICCWorldCup2019 #ICCCricketWorldCup2019 #ICCWC2019 #CWC19 #CWC2019 #CricketMeriJaan India's commiting human\xe2\x80\xa6"""
2019-07-07 21:55:15,b'RT @thijsbouwknegt: Busy justice-day in #TheHague tomorrow: #ICC delivers judgement in #Ntaganda case (#Congo); #ICC starts confirmation of\xe2\x80\xa6'
2019-07-07 21:55:02,b'RT @thijsbouwknegt: Busy justice-day in #TheHague tomorrow: #ICC delivers judgement in #Ntaganda case (#Congo); #ICC starts confirmation of\xe2\x80\xa6'
2019-07-07 21:54:34,b'RT @thijsbouwknegt: Busy justice-day in #TheHague tomorrow: #ICC delivers judgement in #Ntaganda case (#Congo); #ICC starts confirmation of\xe2\x80\xa6'
2019-07-07 21:50:40,b'RT @thijsbouwknegt: Busy justice-day in #TheHague tomorrow: #ICC delivers judgement in #Ntaganda case (#Congo); #ICC starts confirmation of\xe2\x80\xa6'
2019-07-07 21:47:30,b'RT @thijsbouwknegt: Busy justice-day in #TheHague tomorrow: #ICC delivers judgement in #Ntaganda case (#Congo); #ICC starts confirmation of\xe2\x80\xa6'
2019-07-07 21:44:15,b'RT @thijsbouwknegt: Busy justice-day in #TheHague tomorrow: #ICC delivers judgement in #Ntaganda case (#Congo); #ICC starts confirmation of\xe2\x80\xa6'
2019-07-07 21:41:34,b'RT @craigricha: Is anyone interested in two tickets for this Tuesdays semi? Bronze. I paid \xc2\xa3270 each.  Looking to get my money back. My son\xe2\x80\xa6'
2019-07-07 21:38:20,b'RT @suneerchowdhary: A rare picture of two wicket-keepers from their own times and a legendary fielder.\n\n#CWC19 #icc https://t.co/0de2t2VuMt'
